nrg_cons,nrg_prc,currency,geo\time	2021	2020	2019	2018	2017	2016S2 	2015S2 	2014S2 	2013S2 	2012S2 	2011S2 	2010S2 	2009S2 	2008S2 	2007S2 
KWH2500-4999,NRG_SUP,NAC,UA	: 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,NRG_SUP,NAC,UK	: 	: 	0.0872 	0.0850 	0.0732 	0.0875 	0.0939 	0.1183 	0.1146 	0.1074 	0.1017 	: 	0.0830 	0.0870 	: 
KWH2500-4999,NRG_SUP,NAC,XK	0.0252 	0.0217 	0.0191 	0.0320 	0.0334 	0.0207 	0.0208 	0.0203 	0.0149 	: 	: 	: 	: 	: 	: 
KWH2500-4999,NRG_SUP,PPS,AL	: u	: u	0.1602 	0.1580 	0.1537 	0.1637 	0.1631 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,NRG_SUP,PPS,AT	0.0652 	0.0644 	0.0604 	0.0553 	0.0543 	0.0564 	0.0595 	0.0638 	0.0678 	0.0697 	0.0724 	0.0644 	0.0633 	0.0621 	: 
KWH2500-4999,NRG_SUP,PPS,BA	0.0696 	0.0710 	0.0704 	0.0665 	0.0674 	0.0705 	0.0695 	: 	0.0726 	0.0743 	: 	: 	: 	: 	: 
KWH2500-4999,NRG_SUP,PPS,BE	0.0757 	0.0697 	0.0761 	0.0716 	0.0651 	0.0745 	0.0755 	0.0625 	0.0630 	0.0707 	0.0683 	0.0668 	0.0612 	0.0865 	0.0641 
KWH2500-4999,NRG_SUP,PPS,BG	0.1128 	0.1053 	0.1050 	0.1138 	0.1142 	0.1190 	0.1249 	0.1174 	0.0927 	0.1002 	0.0895 	0.1070 	0.0961 	0.0957 	0.0835 
KWH2500-4999,NRG_SUP,PPS,CY	0.1194 	0.1150 	0.1407 	0.1299 	0.1161 d	0.1029 	0.1192 	0.1750 	0.1854 	0.2247 	0.1816 	0.1505 	: 	: 	: 
KWH2500-4999,NRG_SUP,PPS,CZ	0.1301 	0.1067 	0.0949 	0.0806 	0.0774 	0.0817 	0.0810 	0.0797 	0.0886 	0.0927 	0.0856 	0.0870 	0.1006 	0.0882 	0.0809 
KWH2500-4999,NRG_SUP,PPS,DE	0.0727 	0.0519 	0.0525 	0.0572 	0.0633 	0.0700 	0.0711 	0.0741 	0.0824 	0.0818 	0.0777 	0.0840 	0.0742 	0.0771 	0.0646 
KWH2500-4999,NRG_SUP,PPS,DK	0.0560 	0.0307 	0.0406 	0.0376 	0.0289 	0.0303 	0.0294 	0.0343 	0.0355 	0.0391 	0.0500 	0.0440 	0.0334 	0.0583 	0.0301 
KWH2500-4999,NRG_SUP,PPS,EA	0.0877 	0.0675 	0.0707 	0.0799 	0.0757 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,NRG_SUP,PPS,EE	0.0952 	0.0546 	0.0656 	0.0650 	0.0567 	0.0622 	0.0598 	0.0616 	0.0657 	0.0439 	0.0458 	0.0462 	0.0464 	0.0438 	0.0424 
KWH2500-4999,NRG_SUP,PPS,EL	0.1429 	0.1237 	0.1091 	0.1037 	0.1003 	0.1092 	0.1161 	0.1139 	0.1087 	0.0886 	0.0783 	0.0744 	0.0726 	: 	: 
KWH2500-4999,NRG_SUP,PPS,ES	0.1389 	0.0580 	0.0717 	0.1564 d	0.1305 d	0.1377 	0.1498 	0.1525 	0.1582 	0.0909 	0.0993 	0.0888 	0.1025 	0.0970 	: 
KWH2500-4999,NRG_SUP,PPS,EU27_2020	0.0854 	0.0677 	0.0703 	0.0778 	0.0734 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,NRG_SUP,PPS,FI	0.0440 	0.0423 	0.0447 	0.0402 	0.0389 	0.0409 	0.0425 	0.0452 	0.0489 	0.0508 	0.0536 	0.0487 	0.0459 	0.0468 	0.0410 
KWH2500-4999,NRG_SUP,PPS,FR	0.0668 	0.0644 	0.0602 	0.0549 	0.0540 	0.0572 	0.0593 	0.0581 	0.0571 	0.0534 	: 	: 	: 	: 	: 
KWH2500-4999,NRG_SUP,PPS,HR	0.0894 	0.0897 	0.0897 	0.0889 	0.0888 	0.0926 	0.0909 	0.0934 	0.0995 	0.1034 	0.0815 	0.0786 	0.0781 	0.0836 	0.0613 
KWH2500-4999,NRG_SUP,PPS,HU	0.0550 	0.0589 	0.0649 	0.0705 	0.0721 	0.0841 	0.0860 	0.0837 	0.1001 	0.1179 	: 	0.1231 	0.1301 	0.1248 	0.0888 
KWH2500-4999,NRG_SUP,PPS,IE	0.1028 	0.0913 e	0.1042 	0.0982 	0.0898 	0.1153 	0.1191 	0.1247 	0.1132 	0.1172 	0.1046 	: 	: 	: 	: 
KWH2500-4999,NRG_SUP,PPS,IS	0.0291 	0.0312 	0.0324 	0.0325 	0.0312 	0.0298 	0.0287 	0.0276 	0.0269 	0.0270 	: 	: 	: 	: 	: 
KWH2500-4999,NRG_SUP,PPS,IT	0.1134 	0.0929 	0.0968 	0.1040 d	0.0954 d	0.0900 d	0.0956 	0.1007 	0.1055 	0.1101 	0.0963 	0.0918 	0.1046 	0.1103 	: 
KWH2500-4999,NRG_SUP,PPS,LT	0.0741 	0.0721 	0.0712 	0.0531 	0.0593 	0.0677 	0.0855 	0.0820 	0.0785 	0.0815 	0.0807 	0.0782 	0.0608 	0.0579 	0.0540 
KWH2500-4999,NRG_SUP,PPS,LU	0.0527 	0.0530 	0.0461 	0.0439 	0.0429 	0.0492 	0.0518 	0.0605 	0.0576 	0.0632 	0.0601 	0.0604 	0.0754 	0.0540 	0.0548 
KWH2500-4999,NRG_SUP,PPS,LV	0.0982 	0.0767 	0.0802 	0.0679 	0.0672 	0.0765 	0.0787 	0.0423 	0.0418 	0.0560 	0.0804 	0.0751 	0.0723 	0.0689 	0.0538 
KWH2500-4999,NRG_SUP,PPS,ME	0.0849 	0.0843 	0.0819 	0.0782 	0.0758 	0.0862 	0.0862 	0.0822 	0.0797 	0.0827 	0.0705 	: 	: 	: 	: 
KWH2500-4999,NRG_SUP,PPS,MK	0.1075 	0.1086 	0.1043 	0.1103 	0.1150 	0.1066 	0.1628 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,NRG_SUP,PPS,MT	0.1080 	0.1057 	0.1154 	0.1160 	0.1185 	0.1237 	0.1233 	0.1209 	0.1781 	0.1797 	0.1807 	0.1850 	0.1675 	0.1728 	0.0933 
KWH2500-4999,NRG_SUP,PPS,NL	0.0684 	0.0666 	0.0667 	0.0562 	0.0540 	0.0597 	0.0638 	0.0681 	0.0703 	0.0720 	0.0708 	0.0709 	0.0816 	0.0786 	0.0763 
KWH2500-4999,NRG_SUP,PPS,NO	0.0515 	0.0187 	0.0380 	0.0385 	0.0294 	0.0320 	0.0243 	0.0313 	0.0346 	0.0273 	0.0349 	0.0408 	0.0327 	0.0448 	0.0282 
KWH2500-4999,NRG_SUP,PPS,PL	0.0758 	0.0799 	0.0698 	0.0740 	0.0768 	0.0994 	0.0973 	0.0961 	0.1024 	0.1080 	0.1016 	0.0983 	0.0930 	0.0723 	0.0589 
KWH2500-4999,NRG_SUP,PPS,PT	0.0853 	0.0836 	0.0849 	0.0623 	0.0669 	0.0847 	0.0873 	0.0902 	0.0935 	0.0929 	0.0762 	0.0731 	0.1033 	0.0841 	: 
KWH2500-4999,NRG_SUP,PPS,RO	0.1372 	0.1181 	0.1106 	0.1074 	0.0950 	0.0905 	0.0837 	0.0727 	0.0739 	0.0552 	0.0652 	0.0684 	0.0632 	0.0646 	0.0620 
KWH2500-4999,NRG_SUP,PPS,RS	0.0444 	0.0483 	0.0496 	0.0491 	0.0481 	0.0502 	0.0479 	0.0414 	0.0378 	: 	: 	: 	: 	: 	: 
KWH2500-4999,NRG_SUP,PPS,SE	0.0571 	0.0320 	0.0424 	0.0403 	0.0321 	0.0368 	0.0319 	0.0372 	0.0425 	0.0443 	0.0497 	0.0529 	0.0475 	0.0544 	0.0432 
KWH2500-4999,NRG_SUP,PPS,SI	0.0789 	0.0770 	0.0704 	0.0657 	0.0655 	0.0712 	0.0717 	0.0732 	0.0760 	0.0770 	0.0724 	0.0645 	0.0630 	0.0563 	: 
KWH2500-4999,NRG_SUP,PPS,SK	0.0758 	0.0841 	0.0690 	0.0575 	0.0520 	0.0720 	0.0726 	0.0803 	0.0932 	0.1006 	0.0952 	0.1080 	0.1017 	0.0922 	0.0819 
KWH2500-4999,NRG_SUP,PPS,TR	0.1309 	0.1283 	0.1082 	0.1151 	0.1071 	0.1332 	0.1271 	0.1333 	0.1381 	0.1372 	0.1183 	0.1437 	0.1408 	0.1399 	: 
KWH2500-4999,NRG_SUP,PPS,UK	: 	: 	0.0856 	0.0843 	0.0734 	0.0949 	0.1018 	0.1262 	0.1239 	0.1175 	0.1097 	: 	0.0952 	0.1044 	: 
KWH2500-4999,OTH,EUR,AL	: 	0.0000 e	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,AT	0.0021 	0.0018 	0.0018 	0.0017 	0.0017 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,BA	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,BE	0.0022 	0.0020 	0.0015 	0.0071 	0.0490 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,BG	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,CY	0.0005 	0.0006 	0.0008 	0.0008 	0.0007 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,CZ	0.0003 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,DE	0.0158 	0.0155 	0.0151 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,DK	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.2136 d	0.2159 d	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,EA	0.0073 	0.0082 	0.0074 	: 	: 	0.0713 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,EE	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,EL	0.0087 	0.0090 	0.0090 	0.0119 	0.0240 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,ES	0.0205 	0.0260 	0.0228 	0.0100 d	0.0088 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,EU27_2020	0.0061 	0.0070 	0.0060 	: 	: 	0.0909 	0.2159 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,FI	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,FR	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,GE	: 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,HR	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,HU	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,IE	0.0034 	0.0040 e	0.0035 	0.0046 	0.0006 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,IS	0.0023 	0.0019 	0.0022 	0.0023 	0.0024 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,IT	0.0026 	0.0033 	0.0030 	0.0548 d	0.0564 d	0.0713 d	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,LI	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,LT	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,LU	0.0011 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,LV	0.0002 	0.0001 	0.0002 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,MD	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,ME	-0.0067 	-0.0048 	-0.0033 	-0.0031 	-0.0021 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,MK	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,MT	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,NL	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,NO	-0.0060 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,PL	0.0006 	0.0008 	0.0035 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,PT	0.0056 	0.0072 	0.0118 	0.0130 	0.0136 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,RO	: 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,RS	0.0084 	0.0043 	0.0041 	0.0040 	0.0039 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,SE	: 	: 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,SI	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,SK	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,TR	0.0029 	0.0033 	0.0038 	0.0034 	0.0040 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,UA	: 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,UK	: 	: 	0.0311 	0.0283 	0.0207 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,EUR,XK	: 	: 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,AL	: 	0.0000 e	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,AT	0.0021 	0.0018 	0.0018 	0.0017 	0.0017 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,BA	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,BE	0.0022 	0.0020 	0.0015 	0.0071 	0.0490 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,BG	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,CY	0.0005 	0.0006 	0.0008 	0.0008 	0.0007 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,CZ	0.0088 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,DE	0.0158 	0.0155 	0.0151 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,DK	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	1.5891 d	1.6107 d	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,EE	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,EL	0.0087 	0.0090 	0.0090 	0.0119 	0.0240 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,ES	0.0205 	0.0260 	0.0228 	0.0100 d	0.0088 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,FI	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,FR	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,GE	: 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,HR	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,HU	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,IE	0.0034 	0.0040 e	0.0035 	0.0046 	0.0006 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,IS	0.3400 	0.3000 	0.3000 	0.3000 	0.3000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,IT	0.0026 	0.0033 	0.0030 	0.0548 d	0.0564 d	0.0713 d	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,LI	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,LT	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,LU	0.0011 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,LV	0.0002 	0.0001 	0.0002 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,MD	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,ME	-0.0067 	-0.0048 	-0.0033 	-0.0031 	-0.0021 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,MK	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,MT	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,NL	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,NO	-0.0610 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,PL	0.0027 	0.0034 	0.0151 	0.0001 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,PT	0.0056 	0.0072 	0.0118 	0.0130 	0.0136 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,RO	: 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,RS	0.9917 	0.5081 	0.4856 	0.4753 	0.4705 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,SE	: 	: 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,SI	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,SK	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,TR	0.0333 	0.0291 	0.0244 	0.0222 	0.0173 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,UA	: 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,UK	: 	: 	0.0274 	0.0252 	0.0185 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,NAC,XK	: 	: 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,PPS,AL	: 	0.0000 e	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,PPS,AT	0.0018 	0.0016 	0.0016 	0.0015 	0.0015 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,PPS,BA	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,PPS,BE	0.0020 	0.0018 	0.0013 	0.0063 	0.0434 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,PPS,BG	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,PPS,CY	0.0005 	0.0007 	0.0009 	0.0009 	0.0008 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,PPS,CZ	0.0005 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,PPS,DE	0.0143 	0.0140 	0.0137 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,PPS,DK	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.1590 d	0.1660 d	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,PPS,EA	0.0072 	0.0082 	0.0073 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,PPS,EE	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,PPS,EL	0.0105 	0.0109 	0.0109 	0.0143 	0.0287 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,PPS,ES	0.0218 	0.0279 	0.0245 	0.0107 d	0.0096 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,PPS,EU27_2020	0.0061 	0.0070 	0.0061 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,PPS,FI	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,PPS,FR	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,PPS,HR	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,PPS,HU	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,PPS,IE	0.0028 	0.0033 e	0.0029 	0.0039 	0.0005 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,PPS,IS	0.0015 	0.0014 	0.0015 	0.0015 	0.0015 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,PPS,IT	0.0026 	0.0033 	0.0030 	0.0546 d	0.0561 d	0.0726 d	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,PPS,LT	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,PPS,LU	0.0009 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,PPS,LV	0.0003 	0.0001 	0.0003 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,PPS,ME	-0.0133 	-0.0095 	-0.0065 	-0.0061 	-0.0042 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,PPS,MK	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,PPS,MT	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,PPS,NL	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,PPS,NO	-0.0040 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,PPS,PL	0.0010 	0.0013 	0.0057 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,PPS,PT	0.0066 	0.0086 	0.0140 	0.0154 	0.0162 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,PPS,RO	: 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,PPS,RS	0.0159 	0.0083 	0.0079 	0.0079 	0.0079 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,PPS,SE	: 	: 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
KWH2500-4999,OTH,PPS,SI	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
